Date,Open,High,Low,Close,Volume
2021-01-01,29395.05,29600.00,29091.14,29374.15,40730399999
2021-01-02,29374.15,33155.12,29091.20,32127.27,67098800000
2021-01-03,32117.72,34610.00,32005.00,32782.02,88629200000
2021-01-04,32782.02,33440.00,30222.22,32000.00,76531800000
2021-01-05,32000.00,34444.00,30088.00,33992.77,71507000000
2021-01-06,33992.77,36800.00,33300.00,36965.12,74161000000
2021-01-07,36965.12,40180.00,36500.00,39238.16,88049000000
2021-01-08,39238.16,41950.00,38782.00,40797.61,93373000000
2021-01-09,40797.61,41400.00,38700.00,40201.48,73627000000
2021-01-10,40201.48,41340.00,35000.00,35808.12,92278000000
2021-01-11,35808.12,36620.00,30450.00,35566.44,113360000000
2021-01-12,35566.44,36594.00,32600.00,33922.57,96919000000
2021-01-13,33922.57,37760.00,32960.00,37316.73,91866000000
2021-01-14,37316.73,40000.00,36700.00,39188.50,88770000000
2021-01-15,39188.50,39643.34,34300.00,36823.77,90506000000
2021-01-16,36823.77,37950.00,35712.50,36078.07,67015000000
2021-01-17,36078.07,36800.00,34000.00,35713.97,60321000000
2021-01-18,35713.97,37200.00,34500.00,36677.65,61025000000
2021-01-19,36677.65,37910.00,35910.00,35963.58,59917000000
2021-01-20,35963.58,36500.00,33700.00,35584.47,69845000000
